leiden_scanpy,score_hepatocyte,score_periportal_hepatocyte_program,score_pericentral_hepatocyte_program,score_cholangiocyte_biliary,score_endothelial_general,score_liver_sinusoidal_endothelial,score_macrophage_kupffer_like,score_stellate_fibroblast,score_t_cell,score_nk_cell_cytotoxic,score_b_cell,score_plasma_cell,score_proliferation,score_hcc_or_fetal_like_program_careful,score_hypoxia_angiogenesis,score_immune_checkpoint_exhaustion
10,-0.3162212355974988,-0.16504008221011163,-0.026147786821326926,-0.0002680567933165657,-0.005034994421768578,-0.04961243236977329,0.10858838223670908,-0.013839535202060087,-1.1252102855929111,-1.0973257605970954,-0.05902835562580086,-0.4599362834676674,-0.05273669836221691,0.014250309734448567,0.16880740129126975,-0.03677600526436673
11,1.7421056502676524,1.5586660427964054,1.1332376202638037,-0.011681782871123142,-0.09179891231128581,-0.17158235038182626,-0.34741655246511344,-0.04243016180128046,-0.22465811500634816,-0.17473891107186945,-0.18856281804800804,-0.09893398633461647,-0.24758315660771224,-0.0002088012803134783,-0.023241708192302205,-0.2701745824096395
12,-0.23485889917692057,-0.10270608863981763,-0.15960822759459767,-0.0018290004433967751,-0.015007212481614353,-0.023190342974492628,-0.17109586508992247,0.00015837486730823993,-0.42427272085937207,2.0692786411377,-0.02062098128990766,-0.2716566617532207,0.027819423106411178,-0.01936456314600878,0.11084532178549487,0.1353019365803672
13,-0.10112272971192378,-0.1218644147576418,0.29001943500208105,0.00010872951742135611,0.1216377214830503,0.4202304287779754,2.763728430680781,-0.01101755902624396,-0.9817472767866227,-0.9727316589632437,-0.06859256555296793,-0.20393277364847504,0.09486250115148231,0.010795922667309069,0.07710868195238592,0.07010894695335572
14,-0.13763054743761235,-0.026853417381574457,0.29255274113135793,-0.0018697122976798855,-0.011758286107215472,-0.015435975224925898,-0.127945906284098,-0.005435087046222954,-0.4538789702698576,-0.4077582612179055,-0.04152642559159884,-0.30373436258149933,-0.0304289497788447,-0.009874685309615477,-0.0539453131001302,-0.026092782198606553
15,-0.2307992959970078,-0.11932605483235693,-0.21912325765130788,-0.003122903519145828,-0.01933923571421209,-0.03717335558607255,-0.20435342259106082,-0.013947932742106763,-0.8781365050365996,-0.8427138218707438,1.7444222024472258,-0.32835523918143567,0.028216754524207324,-0.02030576710639316,0.02726545816947856,-0.051575832934716875
16,0.7108521462604822,0.10764937601207306,0.3200850511163935,-0.012555945894231813,0.5286941557743142,1.085960068784313,-0.28708473556691777,-0.0536967596370409,-0.23321770666698985,-0.2144105290852244,-0.16519964396578563,-0.18967239140082912,-0.19839030093567162,-0.028152959091775655,-0.09193488939194426,-0.19262066849300802
17,1.5069713255727986,2.388819927684085,1.0830771175026026,-0.011257416854680605,-0.05703304766029343,-0.10987691446076998,-0.26869692654593513,-0.042304129587488096,-0.15915875540734287,-0.11555115063875243,-0.11537243621976909,-0.06487341210348391,-0.15856901577026428,0.031017692832081896,0.019727084114452714,-0.21011636309060802
18,-0.2459815224588064,-0.13122557317525727,-0.25898493344389617,-0.0030133345741878313,-0.01845123088003418,-0.029918067400238557,-0.24019139259415204,-0.015652659530862097,-1.0443209485757237,-1.0651238036000772,-0.03328096416534168,-0.48428559451742614,0.06445443840092266,-0.016450667821495672,0.31006467583087555,0.10670294041388073
19,-0.2851139996388259,-0.1633666737883538,-0.14527557348928558,-0.005488302954877704,-0.024127100358874894,-0.0555509515389954,-0.17090398765060422,-0.02356009000311447,-1.0511703101896213,-0.3026709705542686,-0.006050161766595001,0.8751519391427633,0.2906716245746891,-0.03637399597937201,0.10112161032962845,-0.06371803833377455
20,-0.273934995755925,-0.150656663748719,-0.2411396762319057,-0.0017680614914728162,-0.025650931232932963,-0.029466107238460746,-0.2096683740514093,-0.013711091003877802,-0.8784536292280462,-0.7924848075700466,0.5584037517271796,2.649663517200105,-0.011220997394612103,-0.03847983919730544,0.052935120593770764,-0.055526156446684426
21,0.9163402503066285,0.19472674779337715,0.4589992687241159,-0.01925885226066767,-0.05346570692766136,-0.1187649436210416,-0.23681691630867235,0.5024923942653262,-0.21692301510541848,-0.20986895299193217,-0.15613692379142458,-0.20476985181273857,-0.16696329688807798,-0.024011906136456627,-0.08202355428468981,-0.2329331909637809
22,-0.1797665521032759,-0.17195238543773875,-0.13941117269332554,-0.006676667713876548,1.18996171855706,2.353793571360634,-0.25390538901367343,-0.026670512546044443,-0.9024265751061227,-0.8995481620928882,-0.04661951615819504,-0.23270428508800126,-0.04401102465625575,-0.04617197571831791,0.020237590126039304,-0.10486307219295643
23,0.7483032983272848,0.15997105291409516,0.4423768085829242,0.45180833242741536,-0.09428898143833056,-0.10537331753644277,-0.2708261808576883,-0.04499482491596094,-0.25727639853926243,-0.23545017424174786,-0.1383364207353305,-0.21597546021616956,-0.18020116746977397,0.09115813108724426,0.0702542800047109,-0.21953194572228243
24,0.7559381723512897,0.05272733642769385,0.6076749108057403,-0.008856170628464735,0.007150755528048811,0.26133787866728575,0.4916473044809966,-0.03623172357117918,-0.3149680523924027,-0.3111184145975259,-0.15121279393393475,-0.19756934022422593,-0.1552745359285059,0.005085186624712806,-0.07093605444573871,-0.11615456461061284
25,-0.193027671091426,-0.10410989317766392,0.09881018437263794,0.0285674458716314,-0.011316929642841762,-0.02703598419101311,-0.12951701376880312,-0.011405506366583232,-0.6817345737302014,-0.6577266792310533,-0.0364277415969294,-0.24775239723945153,0.2518108994513125,0.031418557427329706,0.11424108456179123,-0.022597531035618637
26,0.3303156366627484,-0.1483628575828027,0.052182229077857314,1.2984450466123811,-0.04888677460507579,-0.045755088066425996,-0.3420983595084579,-0.01738553008427173,-1.0072045490747052,-1.0387053859513904,-0.08830292513691114,-0.2276468657685584,0.12889637163120032,0.551786321810207,0.36199908400639197,-0.1110746529098452
27,-0.24624599378476544,-0.13024888820888925,0.36590687406050776,-0.007487165496233247,0.023790031320752282,-0.04341981277997102,-0.22603978466427746,2.1889386168765537,-0.9490934459771293,-0.985141137244162,-0.08415165238506725,-0.254028113337308,-0.026711318786715676,0.007417359838838178,0.4784166310955204,-0.0723268699688135
