gene,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
BGN,0.15267195893943755,0.0,4.7245638e-05,0.0,0.009900990099009901,3.752502358053695e-05,0.0,0.0,0.0222995272500223
ATP10B,0.151546875897995,0.0,4.7245638e-05,0.0,0.009900990099009901,1.6640898531340776e-05,0.0,0.0,0.0222995272500223
ITLN1,0.14413890738250035,0.0,4.7245638e-05,0.0,0.009900990099009901,2.3311740502519567e-05,0.0,0.0,0.0222995272500223
RPL24,0.14159356615773994,0.0,4.7245638e-05,0.0,0.009900990099009901,4.586268475592078e-05,0.0,0.0,0.0222995272500223
ANXA4,0.1372561693561708,0.0,4.7245638e-05,0.0,0.009900990099009901,3.013576050828878e-05,0.0,0.0,0.0222995272500223
ELL2,0.13596627631159525,0.0,4.7245638e-05,0.0,0.009900990099009901,3.6712048003937167e-05,0.0,0.0,0.0222995272500223
LAMC3,0.13579075375833258,0.0,4.7245638e-05,0.0,0.009900990099009901,3.847533936941271e-05,0.0,0.0,0.0222995272500223
NBL1,0.13569580433440623,0.0,4.7245638e-05,0.0,0.009900990099009901,4.2746346324585865e-05,0.0,0.0,0.0222995272500223
PDZK1IP1,0.1345097118199125,0.0,4.7245638e-05,0.0,0.009900990099009901,3.858170215076089e-05,0.0,0.0,0.0222995272500223
PHLDA3,0.13418993447790425,0.0,4.7245638e-05,0.0,0.009900990099009901,4.5962778677031225e-05,0.0,0.0,0.0222995272500223
EMILIN1,0.13391885969930933,0.0,4.7245638e-05,0.0,0.009900990099009901,3.36745235616873e-05,0.0,0.0,0.0222995272500223
HSPG2,0.132305261107742,0.0,4.7245638e-05,0.0,0.009900990099009901,3.643892797043462e-05,0.0,0.0,0.0222995272500223
STAB1,0.1273809035293966,0.0,4.7245638e-05,0.0,0.009900990099009901,3.793766350208914e-05,0.0,0.0,0.0222995272500223
NADK2,0.1272748169621148,0.0,4.7245638e-05,0.0,0.009900990099009901,3.524875860564209e-05,0.0,0.0,0.0222995272500223
SUSD5,0.12707948399685712,0.0,4.7245638e-05,0.0,0.009900990099009901,3.322721959458521e-05,0.0,0.0,0.0222995272500223
HLA-DRA,0.12564656277038425,0.0,4.7245638e-05,0.0,0.009900990099009901,3.960440151930548e-05,0.0,0.0,0.0222995272500223
MZB1,0.12460788162141766,0.0,4.7245638e-05,0.0,0.009900990099009901,3.1770532887681216e-05,0.0,0.0,0.0222995272500223
AGPAT2,0.12386278092836318,0.0,4.7245638e-05,0.0,0.009900990099009901,3.478639156240714e-05,0.0,0.0,0.0222995272500223
SEC61B,0.12184610132356287,0.0,4.7245638e-05,0.0,0.009900990099009901,4.3858026671985095e-05,0.0,0.0,0.0222995272500223
FBLN2,0.1204233314591364,0.0,4.7245638e-05,0.0,0.009900990099009901,3.989553423748717e-05,0.0,0.0,0.0222995272500223
EGFL7,0.11812473154156738,0.0,4.7245638e-05,0.0,0.009900990099009901,3.677494507103914e-05,0.0,0.0,0.0222995272500223
HNRNPH1,0.11729339585279008,0.0,4.7245638e-05,0.0,0.009900990099009901,4.1368793882401225e-05,0.0,0.0,0.0222995272500223
